stemmer,stem,distinct_original_words,originals_sample
lancaster,rom,20,"roma, romage, roman, romance, romancers, romances, romancing, romane, romanian, romanist, romans, romantic"
lancaster,ten,20,"ten, tenable, tenacious, tenaciously, tenancy, tenant, tenants, tenement, tenements, tenn, tennant, tennessee"
lancaster,fat,20,"fat, fata, fatal, fatalism, fatalistic, fatalists, fatalities, fatality, fatally, fate, fated, fateful"
lancaster,gal,20,"gal, gala, galal, galanter, galatians, gale, galen, gales, gall, gallant, gallantly, gallants"
lancaster,crit,20,"crit, criterion, critic, critical, criticality, critically, criticise, criticised, criticises, criticising, criticism, criticisms"
lancaster,loc,20,"loc, local, locale, locales, localisms, localities, locality, localization, localize, localized, locally, localness"
lancaster,med,20,"med, medal, medals, medan, medar, mede, medes, media, median, medical, medicale, medically"
lancaster,port,20,"port, porta, portable, portage, portal, portals, portant, ported, portent, portentous, portentousness, portents"
lancaster,elect,20,"elect, elected, electing, election, electioneerer, electioneering, elections, electives, elector, electoral, electorate, electors"
lancaster,ins,20,"insa, insane, insanely, insanities, insanity, insee, insulate, insulated, insulating, insulation, insulator, insulators"
lancaster,equ,20,"equ, equa, equable, equably, equate, equated, equates, equating, equation, equations, equator, equatorial"
lancaster,or,20,"ora, oral, orally, orate, oration, orations, orator, oratorical, orators, oratory, ore, oren"
lancaster,el,20,"elan, elate, elated, elation, ele, eleale, eleanor, element, elemental, elementary, elements, eli"
lancaster,temp,19,"temp, temper, temperance, temperate, temperately, temperature, temperatures, tempered, temperer, tempering, tempers, temporal"
lancaster,past,19,"past, pasta, paste, pasted, pastes, pasteur, pasteurization, pastic, pasting, pastness, pastor, pastoral"
lancaster,tend,19,"tend, tenda, tendance, tended, tendencies, tendency, tender, tendered, tenderer, tendering, tenderly, tenderness"
lancaster,fil,19,"fil, file, filed, filers, files, filial, filing, filings, fill, fille, filled, filler"
lancaster,hat,19,"hat, hata, hate, hated, hateful, hatefully, hatefulness, hater, haters, hates, hatful, hating"
lancaster,grat,19,"grata, grate, grated, grateful, gratefully, gratification, gratifications, gratified, gratify, gratifying, gratifyingly, grating"
lancaster,mor,19,"mor, moral, morale, morales, moralised, moralising, moralist, moralistic, moralists, moralities, morality, moralizing"
